debate_id,speaker,affiliation,sentiment,score
Republican_Candidates_Debate_2015-09-16,Hewitt,MOD,neu,0.7747916666666664
Republican_Candidates_Debate_2015-09-16,Hewitt,MOD,pos,0.206
Republican_Candidates_Debate_2015-09-16,Hewitt,MOD,compound,0.17914166666666667
Republican_Candidates_Debate_2015-09-16,Bash,MOD,neg,0.029500000000000002
Republican_Candidates_Debate_2015-09-16,Bash,MOD,neu,0.7717499999999999
Republican_Candidates_Debate_2015-09-16,Bash,MOD,pos,0.19875000000000004
Republican_Candidates_Debate_2015-09-16,Bash,MOD,compound,0.2674
Republican_Candidates_Debate_2015-09-16,Male,MOD,neg,0.0
Republican_Candidates_Debate_2015-09-16,Male,MOD,neu,0.408
Republican_Candidates_Debate_2015-09-16,Male,MOD,pos,0.592
Republican_Candidates_Debate_2015-09-16,Male,MOD,compound,0.4404
Democratic_Candidates_Debate_2015-10-13,Cooper,MOD,neg,0.028755555555555562
Democratic_Candidates_Debate_2015-10-13,Cooper,MOD,neu,0.8543111111111111
Democratic_Candidates_Debate_2015-10-13,Cooper,MOD,pos,0.11693333333333328
Democratic_Candidates_Debate_2015-10-13,Cooper,MOD,compound,0.08794777777777776
Democratic_Candidates_Debate_2015-10-13,Chafee,DEM,neg,0.08929166666666666
Democratic_Candidates_Debate_2015-10-13,Chafee,DEM,neu,0.8325416666666666
Democratic_Candidates_Debate_2015-10-13,Chafee,DEM,pos,0.07808333333333332
Democratic_Candidates_Debate_2015-10-13,Chafee,DEM,compound,0.09149583333333333
Democratic_Candidates_Debate_2015-10-13,Webb,DEM,neg,0.04984848484848484
Democratic_Candidates_Debate_2015-10-13,Webb,DEM,neu,0.8293636363636363
Democratic_Candidates_Debate_2015-10-13,Webb,DEM,pos,0.12069696969696972
Democratic_Candidates_Debate_2015-10-13,Webb,DEM,compound,0.07979090909090909
Democratic_Candidates_Debate_2015-10-13,O,DEM,neg,0.04077777777777777
Democratic_Candidates_Debate_2015-10-13,O,DEM,neu,0.8430444444444444
Democratic_Candidates_Debate_2015-10-13,O,DEM,pos,0.11622222222222225
Democratic_Candidates_Debate_2015-10-13,O,DEM,compound,0.18445111111111112
Democratic_Candidates_Debate_2015-10-13,Sanders,DEM,neg,0.0840655737704918
Democratic_Candidates_Debate_2015-10-13,Sanders,DEM,neu,0.8232622950819671
Democratic_Candidates_Debate_2015-10-13,Sanders,DEM,pos,0.09270491803278691
Democratic_Candidates_Debate_2015-10-13,Sanders,DEM,compound,0.005713114754098354
Democratic_Candidates_Debate_2015-10-13,Clinton,DEM,neg,0.05084722222222224
Democratic_Candidates_Debate_2015-10-13,Clinton,DEM,neu,0.8224583333333334
Democratic_Candidates_Debate_2015-10-13,Clinton,DEM,pos,0.12673611111111108
Democratic_Candidates_Debate_2015-10-13,Clinton,DEM,compound,0.3868194444444444
Democratic_Candidates_Debate_2015-10-13,Bash,MOD,neg,0.0605
Democratic_Candidates_Debate_2015-10-13,Bash,MOD,neu,0.835
Democratic_Candidates_Debate_2015-10-13,Bash,MOD,pos,0.10435714285714286
Democratic_Candidates_Debate_2015-10-13,Bash,MOD,compound,0.1459
Democratic_Candidates_Debate_2015-10-13,Unknown,MOD,neg,0.0
Democratic_Candidates_Debate_2015-10-13,Unknown,MOD,neu,1.0
Democratic_Candidates_Debate_2015-10-13,Unknown,MOD,pos,0.0
Democratic_Candidates_Debate_2015-10-13,Unknown,MOD,compound,0.0
Democratic_Candidates_Debate_2015-10-13,Lemon,MOD,neg,0.013600000000000001
Democratic_Candidates_Debate_2015-10-13,Lemon,MOD,neu,0.867
Democratic_Candidates_Debate_2015-10-13,Lemon,MOD,pos,0.11939999999999999
Democratic_Candidates_Debate_2015-10-13,Lemon,MOD,compound,0.4542
Democratic_Candidates_Debate_2015-10-13,Wilkins,MOD,neg,0.0
Democratic_Candidates_Debate_2015-10-13,Wilkins,MOD,neu,0.872
Democratic_Candidates_Debate_2015-10-13,Wilkins,MOD,pos,0.128
Democratic_Candidates_Debate_2015-10-13,Wilkins,MOD,compound,0.0516
Democratic_Candidates_Debate_2015-10-13,Lopez,MOD,neg,0.0
Democratic_Candidates_Debate_2015-10-13,Lopez,MOD,neu,0.947125
Democratic_Candidates_Debate_2015-10-13,Lopez,MOD,pos,0.052875000000000005
Democratic_Candidates_Debate_2015-10-13,Lopez,MOD,compound,0.227
